Wall time,Step,Value
1691667924.9883456,848,94.0
1691667950.5490942,851,94.0
1691668037.0624895,854,94.0
1691668053.6248481,857,95.0
1691668073.4154115,860,95.0
1691668166.183845,863,95.0
1691668187.93317,866,96.0
1691668209.0739887,869,96.0
1691668295.2025342,872,96.0
1691668313.423684,875,97.0
1691668339.6341405,878,97.0
1691668420.3956566,881,97.0
1691668444.5823553,884,98.0
1691668461.7775478,887,98.0
1691668549.9344912,890,98.0
1691668572.382334,893,99.0
1691668595.5572731,896,99.0
1691668675.8969653,899,99.0
1691668778.0741084,900,100.0
1691670686.9279015,902,100.0
1691670701.488699,905,100.0
1691670786.2548308,908,100.0
1691670810.8612773,911,101.0
1691670830.0748641,914,101.0
1691670907.6309361,917,101.0
1691670928.6379929,920,102.0
1691670954.0573592,923,102.0
1691671026.5856144,926,102.0
1691671050.602105,929,103.0
1691671069.3864284,932,103.0
1691671144.913437,935,103.0
1691671158.1825664,938,104.0
1691671178.947111,941,104.0
1691671263.0310185,944,104.0
1691671281.9308884,947,105.0
1691671306.4147978,950,105.0
1691671381.8586054,953,105.0
1691671401.5465128,956,106.0
1691671420.5303483,959,106.0
1691671498.2519495,962,106.0
1691671516.3760269,965,107.0
1691671531.055114,968,107.0
1691671612.995339,971,107.0
1691671624.9545631,974,108.0
1691671652.6220703,977,108.0
1691671727.3615994,980,108.0
1691671749.1882548,983,109.0
1691671765.3644176,986,109.0
1691671843.6386228,989,109.0
1691671862.5627768,992,110.0
1691671881.5203495,995,110.0
1691671960.099316,998,110.0
1691671979.14924,1001,111.0
1691671997.6989794,1004,111.0
1691672074.4743743,1007,111.0
1691672093.2613919,1010,112.0
1691672110.8394878,1013,112.0
1691672189.1892943,1016,112.0
1691672208.6257079,1019,113.0
1691672226.0333452,1022,113.0
1691672303.5849643,1025,113.0
1691672320.6366103,1028,114.0
1691672340.7967787,1031,114.0
1691672417.6515675,1034,114.0
1691672440.5254416,1037,115.0
1691672461.0703764,1040,115.0
1691672535.8624752,1043,115.0
1691672560.9363067,1046,116.0
1691672580.4978907,1049,116.0
1691672655.1840768,1052,116.0
1691672683.7047355,1055,117.0
1691672700.0309963,1058,117.0
1691672774.975963,1061,117.0
1691672795.4274333,1064,118.0
1691672821.5257688,1067,118.0
1691672894.7088637,1070,118.0
1691672909.9195104,1073,119.0
1691672933.8908405,1076,119.0
1691673016.0919588,1079,119.0
1691673037.1372397,1082,120.0
1691673056.1350605,1085,120.0
1691673136.0616944,1088,120.0
1691673154.9423943,1091,121.0
1691673174.70022,1094,121.0
1691673253.7011368,1097,121.0
1691673268.1546147,1100,122.0
1691673296.7118063,1103,122.0
1691673366.8906817,1106,122.0
1691673384.060384,1109,123.0
1691673403.7396672,1112,123.0
1691673482.040224,1115,123.0
1691673505.641329,1118,124.0
1691673518.4066455,1121,124.0
1691673598.4872725,1124,124.0
1691673618.8132114,1127,125.0
1691673641.8940735,1130,125.0
1691673716.34801,1133,125.0
1691673738.1627393,1136,126.0
1691673757.9479043,1139,126.0
1691673834.1061144,1142,126.0
1691673852.1329353,1145,127.0
1691673870.1313295,1148,127.0
1691673947.4798174,1151,127.0
1691673966.7009904,1154,128.0
1691673979.4497757,1157,128.0
1691674061.847746,1160,128.0
1691674075.2109401,1163,129.0
1691674102.8509657,1166,129.0
1691674176.6052227,1169,129.0
1691674195.2211132,1172,130.0
1691674217.2138176,1175,130.0
1691674289.756789,1178,130.0
1691674309.1456852,1181,131.0
1691674326.6996925,1184,131.0
1691674405.141041,1187,131.0
1691674422.6786335,1190,132.0
1691674441.3327029,1193,132.0
1691674517.705517,1196,132.0
1691674542.301835,1199,133.0
1691674555.5067103,1202,133.0
1691674632.851597,1205,133.0
1691674652.254809,1208,134.0
1691674669.436334,1211,134.0
1691674746.0305643,1214,134.0
1691674768.2106805,1217,135.0
1691674787.6224954,1220,135.0
1691674860.57458,1223,135.0
1691674884.7715492,1226,136.0
1691674898.3202295,1229,136.0
1691674975.7463226,1232,136.0
1691674993.9452915,1235,137.0
1691675012.1824067,1238,137.0
1691675087.7068925,1241,137.0
1691675105.4888177,1244,138.0
1691675118.653973,1247,138.0
1691675199.0693338,1250,138.0
1691675214.8798661,1253,139.0
1691675236.6797175,1256,139.0
1691675312.8610215,1259,139.0
1691675326.242244,1262,140.0
